Party,Year,District_votes,District_percent,Alameda_votes,Alameda_percent,SantaClara_votes,SantaClara_percent,Finance_Total,Winner
1,2024,172408,67.7,26067,65.8,146341,68,6922188,1
0,2024,82380,32.3,13520,34.2,68860,32,29725,1
1,2022,127853,70.9,17953,68.6,109900,71.3,4020232,1
0,2022,52400,29.1,8214,31.4,44186,28.7,62312,1
1,2020,212137,71.3,53654,70.8,158483,71.6,2993343,1
0,2020,85199,28.7,22155,29.2,63044,28.4,72322,1
1,2018,159105,75.3,38980,74.4,120125,75.7,3493484,1
0,2018,52057,24.7,13443,25.6,38614,24.3,120329,1
1,2016,90924,39,21925,37.4,68999,39.5,2387764,1
1,2016,142268,61,36605,62.6,105663,60.5,3382308,1
1,2014,69561,51.8,16160,50.6,53401,52.1,237432,1
1,2014,64847,48.2,15791,49.4,49056,47.9,213119,1
1,2012,159392,73.5,39368,72,120024,74.1,120923,1
0,2012,57336,26.5,15285,28,42051,25.9,3940,1
0,2010,159392,73.5,39368,72,120024,74.1,298832,0
1,2010,57336,26.5,15285,28,42051,25.9,7883,0
0,2024,90000,49,35000,48,55000,50,9230,0
1,2022,85000,46,32000,43,53000,45,45945,1
0,2022,95000,51,40000,52,55000,51,69600,0
1,2024,91000,47,36000,46,55000,47,4218,1
